Vehicle X,Vehicle Y,Vehicle_Yaw,Velocity X,Velocity Y,Cargo X,Cargo Y,Cargo Z
2.5105007,-0.00889357,-0.0028138522,1.7072684,-0.0019061806,2.424144,-0.008088661,1.349687
2.5311878,-0.008931916,-0.002804753,1.7294838,-0.0037591981,2.4448166,-0.008126461,1.3496928
2.5521412,-0.009003519,-0.00281084,1.751676,-0.006763783,2.4657552,-0.008194969,1.3496972
2.5732322,-0.009100602,-0.0028284153,1.7523899,-0.008317319,2.4868426,-0.008288727,1.349699
2.5941117,-0.00919427,-0.0028441502,1.7378825,-0.0074726664,2.5077355,-0.008381358,1.3496993
2.6149158,-0.00928151,-0.0028566408,1.7336271,-0.0073759533,2.5285468,-0.008468051,1.3496939
2.6357846,-0.009373872,-0.0028715825,1.7446237,-0.007783442,2.5494127,-0.008559023,1.3496908
2.6568477,-0.009459305,-0.002882948,1.7547606,-0.0067295036,2.570467,-0.008644178,1.3496914
2.67796,-0.009525063,-0.002884997,1.7649053,-0.0050925086,2.5915747,-0.0087112095,1.3496894
2.6993015,-0.009576962,-0.002880377,1.7809392,-0.004128509,2.6129053,-0.008764561,1.3496888
2.7207303,-0.009625482,-0.0028742154,1.7856028,-0.004084189,2.634329,-0.008813824,1.3496854
2.7422037,-0.00968624,-0.0028737222,1.7935401,-0.005532159,2.6557987,-0.00887359,1.3496858
2.763891,-0.009776764,-0.002886671,1.8128115,-0.008296,2.6774745,-0.008960687,1.3496902
2.7857804,-0.009906413,-0.0029171943,1.8243648,-0.011649469,2.6993542,-0.009084818,1.3496927
2.8077407,-0.010061536,-0.0029589215,1.8351884,-0.013157107,2.7213097,-0.009234709,1.3496912
2.8298173,-0.010210879,-0.0029969981,1.8339133,-0.011974238,2.7433853,-0.009381478,1.3496948
2.8517516,-0.010349184,-0.003029565,1.8333988,-0.011606517,2.7653277,-0.009517966,1.349699
2.8738835,-0.010502338,-0.003068691,1.8441999,-0.013248638,2.7874532,-0.009667004,1.3496987
2.8960092,-0.010665113,-0.003112049,1.8436679,-0.0134432735,2.8095784,-0.009825685,1.3496945
2.918125,-0.010809022,-0.0031460957,1.8425524,-0.01136569,2.8316953,-0.009968192,1.3496916
2.9402916,-0.01092209,-0.0031654572,1.8527664,-0.008810094,2.853859,-0.010081959,1.34969
2.9627242,-0.011014549,-0.0031749795,1.8749242,-0.0074522463,2.8762784,-0.010175175,1.3496921
2.985338,-0.01108906,-0.003176043,1.8829498,-0.0056760847,2.8988833,-0.010250953,1.3496933
3.0079634,-0.011152139,-0.003171938,1.8909934,-0.0053462265,2.9215064,-0.010314905,1.3496916
3.0308163,-0.011212348,-0.0031663857,1.9067588,-0.004752757,2.944349,-0.0103757335,1.3496915
3.0537555,-0.011270234,-0.0031595272,1.9117501,-0.0050312392,2.9672832,-0.010434003,1.3496884
3.0767462,-0.011347475,-0.0031618406,1.919705,-0.007006096,2.9902706,-0.010509431,1.3496866
3.0999136,-0.011437726,-0.0031697815,1.9339103,-0.0074692545,3.0134299,-0.010597989,1.3496857
3.1232145,-0.0115310075,-0.0031784386,1.9430143,-0.007998473,3.0367243,-0.010690081,1.3496846
3.1464913,-0.011644264,-0.0031964495,1.9339044,-0.010000864,3.0600057,-0.010800349,1.3496866
3.1695716,-0.011769844,-0.0032203337,1.9244691,-0.010409166,3.0830991,-0.010923142,1.34969
3.1927583,-0.011885591,-0.0032388319,1.937764,-0.0093515115,3.1062818,-0.011038067,1.3496886
3.2162108,-0.011999157,-0.0032557407,1.959918,-0.009688958,3.1297207,-0.011150393,1.3496913
3.2398915,-0.012114965,-0.003273445,1.9757593,-0.009463541,3.1533883,-0.0112647535,1.3496916
3.2637243,-0.012217434,-0.0032843633,1.9916064,-0.008212642,3.177211,-0.011367271,1.3496894
3.2877545,-0.012317029,-0.0032936276,2.0023775,-0.008510626,3.2012324,-0.011466242,1.3496897
3.311846,-0.012417645,-0.0033033122,2.0131662,-0.008180918,3.2253191,-0.011566089,1.3496888
3.3362033,-0.012518215,-0.003312196,2.0352974,-0.008632833,3.2496634,-0.011665724,1.3496923
3.3608162,-0.0126421265,-0.0033316338,2.0558298,-0.011011585,3.2742627,-0.011786217,1.3496954
3.3855302,-0.012781883,-0.0033579678,2.053658,-0.011559041,3.298975,-0.011922692,1.3496974
3.4100966,-0.012921774,-0.0033839762,2.052417,-0.011826745,3.3235505,-0.012060248,1.3496995
3.4348488,-0.013068829,-0.0034126348,2.0625165,-0.01235284,3.3482969,-0.012204522,1.3496974
3.4596562,-0.013229401,-0.0034471813,2.072349,-0.013870575,3.3730998,-0.012361179,1.3496943
3.4846509,-0.013398958,-0.0034851453,2.0832834,-0.013961117,3.3980863,-0.012527088,1.3496928
3.5096898,-0.01356861,-0.0035223158,2.089082,-0.01437149,3.423122,-0.012693526,1.3496891
3.5348363,-0.013759954,-0.0035689923,2.0970433,-0.016584832,3.4482632,-0.012879455,1.3496867
